CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,K777,2
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C3CCCC3)(C)[NH2+]CC4=NC5=CC=NN5C=C4)N=N2,Ts_3,3
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C3CCCC3)(C)[NH2+]CC4=CC5=C(N=CS5)C=C4)N=N2,Ts_5,5
CS(CC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C3CCCC3)(C)[NH2+]CC4=CC5=C(N=CS5)C=C4)N=N2)(=O)=O,Ts_25,25
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C3CCCC3)(C)[NH2+]CC4=CC5=C(N=CC=C5)C=C4)N=N2,Ts_27,27
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC4=C(N=CS4)C=C3)N=N2,Ts_37,37
COCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC4=C(N=CS4)C=C3)N=N2,Ts_63,63
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=NC4=CC=NN4C=C3)N=N2,Ts_75,75
COCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C3CCCC3)(C)[NH2+]CC4=CC5=C(N=CS5)C=C4)N=N2,Ts_124,124
CS(CC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC4=C(N=CS4)C=C3)N=N2)(=O)=O,Ts_125,125
COCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC4=C(N=CC=C4)C=C3)N=N2,Ts_340,340
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC4=C(N=CC=C4)C=C3)N=N2,Ts_370,370
CS(CC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=NC4=CC=NN4C=C3)N=N2)(=O)=O,Ts_467,467
CS(CC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC4=C(N=CC=C4)C=C3)N=N2)(=O)=O,Ts_560,560
CS(CC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C3CCCC3)(C)[NH2+]CC4=CC5=C(OC=C5)C=C4)N=N2)(=O)=O,Ts_790,790
CS(CC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC4=C(OC=C4)C=C3)N=N2)(=O)=O,Ts_880,880
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)[NH2+]CC3=CC=NC=C3)N=N2,Ts_1100,1100
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)NC(C3=CC4=C(N=CC=C4)C=C3)=O)N=N2,Ts_1350,1350
COCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C3CCCC3)(C)[NH2+]CC4=NC5=CC=NN5C=C4)N=N2,Ts_2820,2820
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)NC(C3=CC4=C(N=CS4)C=C3)=O)N=N2,Ts_3590,3590
CCCC[C@@H](C(COC1=C(F)C(F)=CC(F)=C1F)=O)N2C=C([C@@](C(C)C)(C)NC(C3=CC=NC=C3)=O)N=N2,Ts_23000,23000
CCCC[C@@H](/C=C/S(=O)(=O)c1ccccc1)n4cc([C@@](C)([NH2+]Cc3ccc2ncccc2c3)C(C)C)nn4,BK-38,nd
CN5CCN(C[NH2+][C@@H](Cc1ccccc1)c4cn([C@H](/C=C/S(=O)(=O)c2ccccc2)CCc3ccccc3)nn4)CC5,Tz_K777,nd
